,max_rank,min_rank
0310529484,665569,22463
0143113704,391031,17760
B01BTT9A3I,2577337,2518546
1477811834,9323873,6131431
B01N7WMA5B,393737,2486
0544716949,28462,3753
B00J3CU46Q,880710,93050
1507612052,9761337,126744
B00LE6KMSY,1275559,88867
0393926125,557864,5999
B074L3WFPC,10791,4514
0275984516,4417678,123956
3404175174,10687444,9668714
1590595823,3246010,97639
B078PNCNT5,1306757,64863
B00BFQ6BOC,1336434,106324
B00N4M768A,991036,111019
0679433139,299067,8348
B077XYSLXR,4795932,687
0321348109,98965,2802
B00A64PY1U,632703,34605
B01FRPMZSW,272654,15108
0762445890,470987,7477
030738330X,702912,38209
B01KPXNXN2,297695,6060
B01H4EAVZ8,564819,35590
B01ED34U7I,618496,70998
B01IRXHV1W,865498,60922
B06XGMK7ZS,335769,1970
0983386722,2228265,119369
B076CW1M52,915182,21884
B00KZ0ZNI4,761307,63500
B003SE75ZS,41831,196
B008SS74TQ,364218,40572
B015913T20,396744,5581
0814437818,282326,6631
0957157371,3474369,184449
0997791209,2720912,96452
2924526124,9690475,260956
1312280174,1508325,71122
0718188861,7587253,2072881
B07169D6PL,2965943,28176
1483407179,5305986,237597
B01A4APJT2,1015870,510
B00ITUHL3M,4721647,4082251
6063304568,11489128,8426442
037570423X,404863,23302
B07D54CH53,509939,53965
0525432795,256044,5488
0465060927,573554,2618
1514437627,12499293,157109
0316098124,1090004,68394
B00QY7B7SC,2711380,158760
1907282483,11924629,8007284
B00HU5KLZC,643545,1454
1501146920,129896,2502
B015CJIK00,1051942,77195
B07BN7K5PZ,682575,36213
0008152896,3739939,151199
0425234339,1077222,70090
0525536647,134696,10878
B018MWSX74,2339813,102653
1533313113,7270879,185736
0062457799,20341,941
B0776MD3WK,462,81
3813505022,4942548,105482
B00N7TDP8K,3646,10
1539810976,3035400,110871
B011PZFPFI,31588,9429
B003Z4K9AO,1100169,117266
1621369986,628074,22144
B00GIV5JII,1206554,1114470
1925089274,1181049,32788
B075JCGH54,1357511,9528
0692999981,1784396,50670
B01LZSTIJB,118415,786
B00C3F9EXY,2340920,125018
B01NA8T710,2361626,106028
1400315530,3848914,244598
1848365985,1148441,61501
1848313535,1886135,121125
B00G8IIICK,565113,45749
B0779C7RRH,3525123,3092703
B01LWL4UNJ,656042,63703
1911219189,1399779,49695
0465096212,237312,3965
B00JPUN9OK,4113930,185201
B06XC2RL17,1098919,37343
1444737589,3357086,305024
1970001151,2181433,101939
160384192X,1351352,49832
1404103058,737984,36432
1937986446,760267,28519
0470044039,782598,30592
B079FZYRJZ,1581228,40940
0738748781,1451173,19457
B00SFQTN2M,488866,19267
B00R1MNDUO,3304421,2410567
0387310738,46056,3378
B07598KF73,967597,30960
B01MZ4NMN1,633118,18209
1620355418,3955804,95068
B00FBZ5SOM,1529145,107486
1520270208,10483819,9624382
B007A3HBWU,1098542,77998
1625261543,3424700,169467
1935460927,6867547,279245
B00DRPI53O,1115133,121964
1843449188,2284314,60317
B015NJKUGQ,513060,47095
B07B4RRTJF,796196,53517
1518899099,13522333,10081950
B00M0174E2,635113,46948
1843869462,13736155,12612281
B00IMR2Y8O,4307679,3446274
B00PWOHB1U,123119,103
0544938402,587504,45672
B078BTQ333,390475,4228
B01HW6UKZ4,17956,44
006001282X,1192595,23656
0470563931,661696,45739
B07C2724Y3,1204906,58001
B01MEFGYZO,784587,57916
B00K4I391A,29403,268
B074CJVHR7,748880,21919
1908766581,13405122,13089449
B01NB8PDCD,2785896,76019
B013ZGE416,353822,53254
B01IZAESIG,1928167,80029
0993337422,2139995,15913
1479385530,10841484,7148835
0007413726,702557,110250
1119286751,815313,32912
B00IJB8RIE,969531,82967
B01FWOROA2,523796,17952
1780220251,3086542,77052
B06WWF1PWQ,203039,2745
B000FCKIA0,608545,36935
B07566KR2T,493507,2426
1846942454,4288021,256721
